iter	Passed	Remaining
920	52825	4531
921	52875	4473
922	52930	4415
923	52985	4358
924	53044	4300
925	53104	4243
926	53162	4186
927	53222	4129
928	53286	4072
929	53346	4015
930	53390	3956
931	53440	3899
932	53490	3841
933	53540	3783
934	53601	3726
935	53664	3669
936	53715	3611
937	53765	3553
938	53855	3498
939	53916	3441
940	53980	3384
941	54035	3326
942	54093	3269
943	54140	3211
944	54188	3153
945	54251	3096
946	54296	3038
947	54348	2981
948	54395	2923
949	54454	2866
950	54514	2808
951	54570	2751
952	54630	2694
953	54687	2636
954	54746	2579
955	54801	2522
956	54858	2464
957	54921	2407
958	54977	2350
959	55021	2292
960	55070	2234
961	55120	2177
962	55180	2120
963	55236	2062
964	55288	2005
965	55354	1948
966	55417	1891
967	55468	1833
968	55532	1776
969	55592	1719
970	55645	1661
971	55695	1604
972	55734	1546
973	55798	1489
974	55852	1432
975	55912	1374
976	55972	1317
977	56030	1260
978	56081	1202
979	56139	1145
980	56200	1088
981	56265	1031
982	56319	973
983	56380	916
984	56423	859
985	56478	801
986	56526	744
987	56588	687
988	56648	630
989	56702	572
990	56752	515
991	56815	458
992	56877	400
993	56932	343
994	56977	286
995	57040	229
996	57093	171
997	57155	114
998	57211	57
999	57263	0
